"","date","country","unemp_rate"
"1",2003-01-01,"euro_area_20_countries_from_2023",NA
"2",2003-01-01,"belgium",NA
"3",2003-01-01,"bulgaria",NA
"4",2003-01-01,"czechia",NA
"5",2003-01-01,"denmark",NA
"6",2003-01-01,"germany",NA
"7",2003-01-01,"estonia",NA
"8",2003-01-01,"ireland",NA
"9",2003-01-01,"greece",NA
"10",2003-01-01,"spain",NA
"11",2004-01-01,"euro_area_20_countries_from_2023",NA
"12",2004-01-01,"belgium",NA
"13",2004-01-01,"bulgaria",NA
"14",2004-01-01,"czechia",NA
"15",2004-01-01,"denmark",NA
"16",2004-01-01,"germany",NA
"17",2004-01-01,"estonia",NA
"18",2004-01-01,"ireland",NA
"19",2004-01-01,"greece",NA
"20",2004-01-01,"spain",NA
"21",2005-01-01,"euro_area_20_countries_from_2023",NA
"22",2005-01-01,"belgium",NA
"23",2005-01-01,"bulgaria",NA
"24",2005-01-01,"czechia",NA
"25",2005-01-01,"denmark",NA
"26",2005-01-01,"germany",NA
"27",2005-01-01,"estonia",NA
"28",2005-01-01,"ireland",NA
"29",2005-01-01,"greece",NA
"30",2005-01-01,"spain",NA
"31",2006-01-01,"euro_area_20_countries_from_2023",NA
"32",2006-01-01,"belgium",NA
"33",2006-01-01,"bulgaria",NA
"34",2006-01-01,"czechia",NA
"35",2006-01-01,"denmark",NA
"36",2006-01-01,"germany",NA
"37",2006-01-01,"estonia",NA
"38",2006-01-01,"ireland",NA
"39",2006-01-01,"greece",NA
"40",2006-01-01,"spain",NA
"41",2007-01-01,"euro_area_20_countries_from_2023",NA
"42",2007-01-01,"belgium",NA
"43",2007-01-01,"bulgaria",NA
"44",2007-01-01,"czechia",NA
"45",2007-01-01,"denmark",NA
"46",2007-01-01,"germany",NA
"47",2007-01-01,"estonia",NA
"48",2007-01-01,"ireland",NA
"49",2007-01-01,"greece",NA
"50",2007-01-01,"spain",NA
"51",2008-01-01,"euro_area_20_countries_from_2023",NA
"52",2008-01-01,"belgium",NA
"53",2008-01-01,"bulgaria",NA
"54",2008-01-01,"czechia",NA
"55",2008-01-01,"denmark",NA
"56",2008-01-01,"germany",NA
"57",2008-01-01,"estonia",NA
"58",2008-01-01,"ireland",NA
"59",2008-01-01,"greece",NA
"60",2008-01-01,"spain",NA
"61",2009-01-01,"euro_area_20_countries_from_2023",9.7
"62",2009-01-01,"belgium",8
"63",2009-01-01,"bulgaria",7.9
"64",2009-01-01,"czechia",6.7
"65",2009-01-01,"denmark",6.4
"66",2009-01-01,"germany",7.3
"67",2009-01-01,"estonia",13.5
"68",2009-01-01,"ireland",12.6
"69",2009-01-01,"greece",9.8
"70",2009-01-01,"spain",17.9
"71",2010-01-01,"euro_area_20_countries_from_2023",10.3
"72",2010-01-01,"belgium",8.4
"73",2010-01-01,"bulgaria",11.3
"74",2010-01-01,"czechia",7.3
"75",2010-01-01,"denmark",7.7
"76",2010-01-01,"germany",6.6
"77",2010-01-01,"estonia",16.6
"78",2010-01-01,"ireland",14.6
"79",2010-01-01,"greece",12.9
"80",2010-01-01,"spain",19.9
"81",2011-01-01,"euro_area_20_countries_from_2023",10.3
"82",2011-01-01,"belgium",7.2
"83",2011-01-01,"bulgaria",12.3
"84",2011-01-01,"czechia",6.7
"85",2011-01-01,"denmark",7.8
"86",2011-01-01,"germany",5.5
"87",2011-01-01,"estonia",12.3
"88",2011-01-01,"ireland",15.4
"89",2011-01-01,"greece",18.1
"90",2011-01-01,"spain",21.4
"91",2012-01-01,"euro_area_20_countries_from_2023",11.5
"92",2012-01-01,"belgium",7.6
"93",2012-01-01,"bulgaria",13.3
"94",2012-01-01,"czechia",7
"95",2012-01-01,"denmark",7.8
"96",2012-01-01,"germany",5.1
"97",2012-01-01,"estonia",9.9
"98",2012-01-01,"ireland",15.5
"99",2012-01-01,"greece",24.8
"100",2012-01-01,"spain",24.8
"101",2013-01-01,"euro_area_20_countries_from_2023",12.2
"102",2013-01-01,"belgium",8.6
"103",2013-01-01,"bulgaria",13.9
"104",2013-01-01,"czechia",7
"105",2013-01-01,"denmark",7.4
"106",2013-01-01,"germany",5
"107",2013-01-01,"estonia",8.6
"108",2013-01-01,"ireland",13.8
"109",2013-01-01,"greece",27.8
"110",2013-01-01,"spain",26.1
"111",2014-01-01,"euro_area_20_countries_from_2023",11.7
"112",2014-01-01,"belgium",8.7
"113",2014-01-01,"bulgaria",12.4
"114",2014-01-01,"czechia",6.1
"115",2014-01-01,"denmark",6.9
"116",2014-01-01,"germany",4.7
"117",2014-01-01,"estonia",7.3
"118",2014-01-01,"ireland",11.9
"119",2014-01-01,"greece",26.6
"120",2014-01-01,"spain",24.5
"121",2015-01-01,"euro_area_20_countries_from_2023",11
"122",2015-01-01,"belgium",8.7
"123",2015-01-01,"bulgaria",10.1
"124",2015-01-01,"czechia",5.1
"125",2015-01-01,"denmark",6.3
"126",2015-01-01,"germany",4.4
"127",2015-01-01,"estonia",6.4
"128",2015-01-01,"ireland",9.9
"129",2015-01-01,"greece",25
"130",2015-01-01,"spain",22.1
"131",2016-01-01,"euro_area_20_countries_from_2023",10.1
"132",2016-01-01,"belgium",7.9
"133",2016-01-01,"bulgaria",8.6
"134",2016-01-01,"czechia",4
"135",2016-01-01,"denmark",6
"136",2016-01-01,"germany",3.9
"137",2016-01-01,"estonia",6.8
"138",2016-01-01,"ireland",8.4
"139",2016-01-01,"greece",23.9
"140",2016-01-01,"spain",19.6
"141",2017-01-01,"euro_area_20_countries_from_2023",9.1
"142",2017-01-01,"belgium",7.2
"143",2017-01-01,"bulgaria",7.2
"144",2017-01-01,"czechia",2.9
"145",2017-01-01,"denmark",5.8
"146",2017-01-01,"germany",3.6
"147",2017-01-01,"estonia",5.8
"148",2017-01-01,"ireland",6.7
"149",2017-01-01,"greece",21.8
"150",2017-01-01,"spain",17.2
"151",2018-01-01,"euro_area_20_countries_from_2023",8.2
"152",2018-01-01,"belgium",6
"153",2018-01-01,"bulgaria",6.2
"154",2018-01-01,"czechia",2.2
"155",2018-01-01,"denmark",5.1
"156",2018-01-01,"germany",3.2
"157",2018-01-01,"estonia",5.4
"158",2018-01-01,"ireland",5.8
"159",2018-01-01,"greece",19.7
"160",2018-01-01,"spain",15.3
"161",2019-01-01,"euro_area_20_countries_from_2023",7.6
"162",2019-01-01,"belgium",5.5
"163",2019-01-01,"bulgaria",5.2
"164",2019-01-01,"czechia",2
"165",2019-01-01,"denmark",5
"166",2019-01-01,"germany",3
"167",2019-01-01,"estonia",4.5
"168",2019-01-01,"ireland",5
"169",2019-01-01,"greece",17.9
"170",2019-01-01,"spain",14.1
"171",2020-01-01,"euro_area_20_countries_from_2023",8
"172",2020-01-01,"belgium",5.8
"173",2020-01-01,"bulgaria",6.1
"174",2020-01-01,"czechia",2.6
"175",2020-01-01,"denmark",5.6
"176",2020-01-01,"germany",3.7
"177",2020-01-01,"estonia",6.9
"178",2020-01-01,"ireland",5.9
"179",2020-01-01,"greece",17.6
"180",2020-01-01,"spain",15.5
"181",2021-01-01,"euro_area_20_countries_from_2023",7.8
"182",2021-01-01,"belgium",6.3
"183",2021-01-01,"bulgaria",5.2
"184",2021-01-01,"czechia",2.8
"185",2021-01-01,"denmark",5.1
"186",2021-01-01,"germany",3.7
"187",2021-01-01,"estonia",6.2
"188",2021-01-01,"ireland",6.2
"189",2021-01-01,"greece",14.7
"190",2021-01-01,"spain",14.9
"191",2022-01-01,"euro_area_20_countries_from_2023",6.8
"192",2022-01-01,"belgium",5.6
"193",2022-01-01,"bulgaria",4.2
"194",2022-01-01,"czechia",2.2
"195",2022-01-01,"denmark",4.5
"196",2022-01-01,"germany",3.2
"197",2022-01-01,"estonia",5.6
"198",2022-01-01,"ireland",4.5
"199",2022-01-01,"greece",12.5
"200",2022-01-01,"spain",13
"201",2023-01-01,"euro_area_20_countries_from_2023",6.6
"202",2023-01-01,"belgium",5.5
"203",2023-01-01,"bulgaria",4.3
"204",2023-01-01,"czechia",2.6
"205",2023-01-01,"denmark",5.1
"206",2023-01-01,"germany",3.1
"207",2023-01-01,"estonia",6.4
"208",2023-01-01,"ireland",4.3
"209",2023-01-01,"greece",11.1
"210",2023-01-01,"spain",12.2
"211",2003-01-01,"france",8.5
"212",2004-01-01,"france",8.9
"213",2005-01-01,"france",8.9
"214",2006-01-01,"france",8.9
"215",2007-01-01,"france",8
"216",2008-01-01,"france",7.4
"217",2009-01-01,"france",9.1
"218",2010-01-01,"france",9.3
"219",2011-01-01,"france",9.2
"220",2012-01-01,"france",9.8
"221",2013-01-01,"france",10.3
"222",2014-01-01,"france",10.3
"223",2015-01-01,"france",10.3
"224",2016-01-01,"france",10.1
"225",2017-01-01,"france",9.4
"226",2018-01-01,"france",9
"227",2019-01-01,"france",8.4
"228",2020-01-01,"france",8
"229",2021-01-01,"france",7.9
"230",2022-01-01,"france",7.3
"231",2023-01-01,"france",7.3
"232",2003-01-01,"croatia",NA
"233",2003-01-01,"italy",NA
"234",2003-01-01,"cyprus",NA
"235",2003-01-01,"latvia",NA
"236",2003-01-01,"lithuania",NA
"237",2003-01-01,"luxembourg",NA
"238",2003-01-01,"hungary",NA
"239",2003-01-01,"malta",NA
"240",2003-01-01,"netherlands",NA
"241",2003-01-01,"austria",NA
"242",2003-01-01,"poland",NA
"243",2003-01-01,"portugal",NA
"244",2003-01-01,"romania",NA
"245",2003-01-01,"slovenia",NA
"246",2003-01-01,"slovakia",NA
"247",2003-01-01,"finland",NA
"248",2003-01-01,"sweden",NA
"249",2003-01-01,"iceland",NA
"250",2003-01-01,"norway",NA
"251",2003-01-01,"switzerland",NA
"252",2003-01-01,"bosnia_and_herzegovina",NA
"253",2003-01-01,"montenegro",NA
"254",2003-01-01,"north_macedonia",NA
"255",2003-01-01,"serbia",NA
"256",2003-01-01,"turkiye",NA
"257",2004-01-01,"croatia",NA
"258",2004-01-01,"italy",NA
"259",2004-01-01,"cyprus",NA
"260",2004-01-01,"latvia",NA
"261",2004-01-01,"lithuania",NA
"262",2004-01-01,"luxembourg",NA
"263",2004-01-01,"hungary",NA
"264",2004-01-01,"malta",NA
"265",2004-01-01,"netherlands",NA
"266",2004-01-01,"austria",NA
"267",2004-01-01,"poland",NA
"268",2004-01-01,"portugal",NA
"269",2004-01-01,"romania",NA
"270",2004-01-01,"slovenia",NA
"271",2004-01-01,"slovakia",NA
"272",2004-01-01,"finland",NA
"273",2004-01-01,"sweden",NA
"274",2004-01-01,"iceland",NA
"275",2004-01-01,"norway",NA
"276",2004-01-01,"switzerland",NA
"277",2004-01-01,"bosnia_and_herzegovina",NA
"278",2004-01-01,"montenegro",NA
"279",2004-01-01,"north_macedonia",NA
"280",2004-01-01,"serbia",NA
"281",2004-01-01,"turkiye",NA
"282",2005-01-01,"croatia",NA
"283",2005-01-01,"italy",NA
"284",2005-01-01,"cyprus",NA
"285",2005-01-01,"latvia",NA
"286",2005-01-01,"lithuania",NA
"287",2005-01-01,"luxembourg",NA
"288",2005-01-01,"hungary",NA
"289",2005-01-01,"malta",NA
"290",2005-01-01,"netherlands",NA
"291",2005-01-01,"austria",NA
"292",2005-01-01,"poland",NA
"293",2005-01-01,"portugal",NA
"294",2005-01-01,"romania",NA
"295",2005-01-01,"slovenia",NA
"296",2005-01-01,"slovakia",NA
"297",2005-01-01,"finland",NA
"298",2005-01-01,"sweden",7.9
"299",2005-01-01,"iceland",NA
"300",2005-01-01,"norway",NA
"301",2005-01-01,"switzerland",NA
"302",2005-01-01,"bosnia_and_herzegovina",NA
"303",2005-01-01,"montenegro",NA
"304",2005-01-01,"north_macedonia",NA
"305",2005-01-01,"serbia",NA
"306",2005-01-01,"turkiye",NA
"307",2006-01-01,"croatia",NA
"308",2006-01-01,"italy",NA
"309",2006-01-01,"cyprus",NA
"310",2006-01-01,"latvia",NA
"311",2006-01-01,"lithuania",NA
"312",2006-01-01,"luxembourg",NA
"313",2006-01-01,"hungary",NA
"314",2006-01-01,"malta",NA
"315",2006-01-01,"netherlands",NA
"316",2006-01-01,"austria",NA
"317",2006-01-01,"poland",NA
"318",2006-01-01,"portugal",NA
"319",2006-01-01,"romania",NA
"320",2006-01-01,"slovenia",NA
"321",2006-01-01,"slovakia",NA
"322",2006-01-01,"finland",NA
"323",2006-01-01,"sweden",7.2
"324",2006-01-01,"iceland",NA
"325",2006-01-01,"norway",NA
"326",2006-01-01,"switzerland",NA
"327",2006-01-01,"bosnia_and_herzegovina",NA
"328",2006-01-01,"montenegro",NA
"329",2006-01-01,"north_macedonia",NA
"330",2006-01-01,"serbia",NA
"331",2006-01-01,"turkiye",NA
"332",2007-01-01,"croatia",NA
"333",2007-01-01,"italy",NA
"334",2007-01-01,"cyprus",NA
"335",2007-01-01,"latvia",NA
"336",2007-01-01,"lithuania",NA
"337",2007-01-01,"luxembourg",NA
"338",2007-01-01,"hungary",NA
"339",2007-01-01,"malta",NA
"340",2007-01-01,"netherlands",NA
"341",2007-01-01,"austria",NA
"342",2007-01-01,"poland",NA
"343",2007-01-01,"portugal",NA
"344",2007-01-01,"romania",NA
"345",2007-01-01,"slovenia",NA
"346",2007-01-01,"slovakia",NA
"347",2007-01-01,"finland",NA
"348",2007-01-01,"sweden",6.3
"349",2007-01-01,"iceland",NA
"350",2007-01-01,"norway",NA
"351",2007-01-01,"switzerland",NA
"352",2007-01-01,"bosnia_and_herzegovina",NA
"353",2007-01-01,"montenegro",NA
"354",2007-01-01,"north_macedonia",NA
"355",2007-01-01,"serbia",NA
"356",2007-01-01,"turkiye",NA
"357",2008-01-01,"croatia",NA
"358",2008-01-01,"italy",NA
"359",2008-01-01,"cyprus",NA
"360",2008-01-01,"latvia",NA
"361",2008-01-01,"lithuania",NA
"362",2008-01-01,"luxembourg",NA
"363",2008-01-01,"hungary",NA
"364",2008-01-01,"malta",NA
"365",2008-01-01,"netherlands",NA
"366",2008-01-01,"austria",NA
"367",2008-01-01,"poland",NA
"368",2008-01-01,"portugal",NA
"369",2008-01-01,"romania",NA
"370",2008-01-01,"slovenia",NA
"371",2008-01-01,"slovakia",NA
"372",2008-01-01,"finland",NA
"373",2008-01-01,"sweden",6.3
"374",2008-01-01,"iceland",NA
"375",2008-01-01,"norway",NA
"376",2008-01-01,"switzerland",NA
"377",2008-01-01,"bosnia_and_herzegovina",NA
"378",2008-01-01,"montenegro",NA
"379",2008-01-01,"north_macedonia",NA
